"row","filename","title","author","year","page_number","image_url","license"
"90","090_bsb11187722_35_conf_1.00.png","Reductions-Tabelle von Reichsmark in Preussisch Courant, Süddeutsche Gulden- und Franken-Währung sowie umgekehrt zum Verhältniss von 3 Mark = 1 Rthlr. = 1 Gulden 45 Kreuzer = 3 Franken 75 Centimes bearbeitet von F. Trenkhorst und R. Telschow","Trenkhorst, F.","1874","31 (0035)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11187722_00035/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"91","091_bsb11034280_10_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1852","Deutscher Zollverein","1852","10 (0010)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034280_00010/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"92","092_bsb11507315_81_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1888, 1. Jan. - 31. Aug.",,"1888","79 (0081)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507315_00081/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"93","093_bsb11507405_27_conf_1.00.png","Statistique de la navigation par le canal de Suez / 1881 (1883)",,"1883","17 (0027)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507405_00027/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"94","094_bsb11314047_238_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 24. 1875",,"1875","230 (0238)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11314047_00238/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"95","095_bsb11034451_157_conf_1.00.png","Ergebnisse der Rigaer Handelsstatistik : aus d. Jahren ... / 1876/80 (1882)",,"1882","87 (0157)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034451_00157/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"96","096_bsb11507347_91_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1891, 1. Jan. - 30. Apr.",,"1891","89 (0091)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507347_00091/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"97","097_bsb11507329_24_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1889, 1. Jan. - 31. Okt.",,"1889","22 (0024)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507329_00024/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"98","098_bsb11507312_8_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1888, 1. Jan. - 31. Mai",,"1888","6 (0008)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507312_00008/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"99","099_bsb11039513_266_conf_1.00.png","Jahrbücher für Nationalökonomie und Statistik : = Journal of economics and statistics / 17. 1871",,"1871","252 (0266)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11039513_00266/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"100","100_bsb11507403_50_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1895, 1. Jan. - 31. Dez.",,"1895","48 (0050)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507403_00050/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"101","101_bsb10347657_60_conf_1.00.png","État des pensions du Département de la Marine : accordées depuis la formation du tableau arrêté au ... jusqu'au ... / 1819/20 = 4 (1821)","Frankreich, Ministère de la Marine et des Colonies","1821","54 (0060)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10347657_00060/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"102","102_bsb11507332_14_conf_1.00.png","Statistica del commercio speciale di importazione e di esportazione / 1890, 1. - 31. Jan.",,"1890","12 (0014)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11507332_00014/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"103","103_bsb11034295_3_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine : für das Jahr ... / 1854","Deutscher Zollverein","1854","3 (0003)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034295_00003/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"104","104_bsb10290796_26_conf_1.00.png","Ausführliche Rechnungs-Tabellen über die Erhebung der Ein-, Aus- und Durchgangs-Abgaben in d. K. preuß. und der mit dessen Zollsystem verbund. Staaten","Förster, Heinrich","1829","22 (0026)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10290796_00026/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"105","105_bsb10388390_348_conf_1.00.png","Journal des économistes : revue bimensuelle de la science économique et de la statistique / 14. 1857 = 16 = Année 4",,"1857","344 (0348)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb10388390_00348/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
"106","106_bsb11034275_56_conf_1.00.png","Statistische Uebersichten über Waaren-Verkehr und Zoll-Ertrag im Deutschen Zoll-Vereine. Nummer 6, Übersicht der Waaren-Mengen und sonstigen Gegenstände, wofür in den einzelnen Hauptamtsbezirken des Gesammt-Zollvereins im Jahre ... Durchgangs-Abgaben erhoben worden sind / 1860","Deutscher Zollverein","1860","56 (0056)","https://api.digitale-sammlungen.de/iiif/image/v2/bsb11034275_00056/full/full/0/default.jpg","https://rightsstatements.org/page/NoC-NC/1.0/"
